user_name,nick_name,level,glevel,gender,is_vip,title,text,view,reply,share,agree,disagree,create_time,last_time,热度
ningGoodbye,ningGoodbye,1,9,0,False,这真的是事实嘛？？？,"这真的是事实嘛？？？
有点太过于离谱了",710706,4645,310,53240,835,2022-10-18 12:33:30,2023-01-09 17:18:27,2210348
大江山V萌神,清道夫1,0,10,1,False,上海富哥都只能望而却步#(滑稽),"上海富哥都只能望而却步#(滑稽)
",584960,4621,696,57919,554,2023-01-02 15:52:26,2025-06-17 23:10:12,1838546
还是清明雨上了,是你的小仙女嘛,1,3,2,False,真事儿。。,"真事儿。。
我有个朋友，大学认识个女朋友，谈了个把月，女孩子透露了一下：家里人说，娶我要80个W……我那朋友听完不动声色，几天后提了分手。（他也是实在人，冲结婚去的）
这彩礼属实是我听过最高的。当时听说了嘴巴半天没合拢…",535134,1573,151,6033,159,2022-02-08 21:13:46,2022-03-25 08:50:20,1619912
秋虫不知晦朔,光荣的红花少年,0,9,1,False,上海又出典中典，比18.8w事件更加离谱,"上海又出典中典，比18.8w事件更加离谱
上海一男子订婚，给了女友6.66万彩礼和一枚钻戒。女友父母说：结婚彩礼还得66万，另外还要在上海买一套婚房。男子和女方家协商了半年，同意再给26.6万彩礼，但暂时先不买房，两家人因此产生了隔阂。然而，没过多久，男子就做了两个重大决定，把女子及家人气的不行。
（案例来源：棒女郎在行动）前段时间，18.8万彩礼男主朱先生，临近结婚和未婚妻解除婚约，就是因为女方太贪心，不断地在彩礼上加码。
如今，昂贵的彩礼，真的成了年轻人恐婚，和不愿结婚的一个重要原因，压力太大了。
陈晨当初就经历过这样的煎熬，朱先生的18.8万彩礼和他相比，简直是大巫见小巫。
为了迎接订婚日，陈晨花了很多心思，在附近酒店包了几桌酒席，还专门把收拾了一番，传递一些喜庆的氛围。
在双方父母的见证下，他将6.66万彩礼和一枚大钻戒交到女友萧沫手中。
吃饭的过程中，陈晨一家人倒是很热情，可明显能感觉到萧沫的父母不太开心。
陈晨当时心里就犯嘀咕，猜想可能是萧沫父母嫌订婚彩礼给的太少。
果不其然，事后萧沫向陈晨转达了父母的想法，她爸妈说，结婚彩礼还需要66万，另外陈晨家还得在上海买套婚房。
陈晨一听，大为震惊，他只是想到了萧沫父母会再要一笔结婚彩礼，但没想到，竟然会要这么多，还要在上海再买套房，他们以为他家有矿啊？
可念及这份感情，陈晨没有果断拒绝这个无理要求，而是选择和萧沫父母沟通。
经过长达半年的拉锯战，陈晨说他可以再给26.6万的彩礼，这是底线了，没有再多了，婚房先不买。
陈晨觉得，婚还没结呢，就给对方七八十万彩礼，这以后日子还过不过。都是普通家庭，又不是家里真有矿，萧沫爸妈也真敢开口。
可萧沫家不同意陈晨这个想法，因此两家人闹得不愉快。
而萧沫也一直站在父母这一边，执意要66万彩礼，和一套婚房。
因此两个人的感情在摩擦中也逐渐暗淡了，陈晨越发觉得，萧沫物质，以及他们一家人都掉钱眼儿里了。
在陈晨的认知里，父母这种行为，哪是嫁女儿，简直就是卖女儿。
半年后，陈晨和家里给介绍的并不是特别喜欢的相亲对象刘娜娜结婚了。
萧沫一家气疯了。
不仅如此，陈晨还当面向萧沫讨要彩礼，钻戒和改口费。并要求萧沫一家承担订婚酒宴费。
然而，却遭到萧沫一家拒绝。
陈晨不要回钱誓不罢休，直接将萧沫告上法院。
那么，从法律角度，我们该如何认定此事？
1、法院审理认为，双方未办理结婚登记手续，彩礼应当返还。
《民法典》婚姻家庭编的解释，其中明确当事人请求返还按照习俗给付的彩礼的，如果查明属于以下3种情形，人民法院应当予以支持：
一、双方未办理结婚登记手续；
二、双方办理结婚登记手续但确未共同生活；
三、婚前给付并导致给付人生活困难。
适用前款第二项、第三项的规定，应当以双方离婚为条件。
彩礼是为了男女双方缔结婚约，男方给女方的礼金，是为了修百年之好。
而陈晨和萧沫最终并没有结婚，所以萧沫理性退还彩礼。
2、萧沫父母借助女儿和陈晨的婚事，索要66万彩礼，属于巨额彩礼，这种行为在法律上是明令禁止的。
《民法典》第1042条规定：
禁止包办、买卖婚姻和其他干涉婚姻自由的行为。禁止借婚姻索取财物。
“禁止借婚姻索要财物”这句话，也就是意味着女方不能借着婚姻的由头，“变相”地索取财物，特别是索取远超男方经济能力之外的高额彩礼。
如双方处于平等自愿的原则，那么彩礼该不该收、该不该给，还是得两家商量着办。
陈晨及家人的考量，合乎情理，结婚后的日子还长着呢，把家里大部分钱都拿出来作为彩礼给女方，这无疑是给家庭造成了一定的经济压力。
3、彩礼原本就是为了双方缔结婚约，修百年之好，从而男方给女方的。
现在这个婚约已经解除，所以女方理应退还彩礼。
而案例中的萧沫及家人拒绝退还，违背了诚信原则。
《民法典》第7条规定：
民事主体从事民事活动，应当遵循诚信原则，秉持诚实，恪守承诺。
综上，生活中因为彩礼最终没能走到一起的情侣，比比皆是。
凡事因为钱而走散的，其实内心也没有多少爱，这样的伴侣不要也罢。",462086,1040,78,8200,214,2023-12-09 11:09:44,2024-06-07 08:46:38,1400106
危鸥,可怜的老实人唉,10,10,1,False,1月29日，辽宁葫芦岛。金毛在路边虾摊上撒尿，摊主要狗主人买走尿脏的虾，狗主人拒绝，双方发生争执。#葫芦岛 ##金毛 #文明养狗,"1月29日，辽宁葫芦岛。金毛在路边虾摊上撒尿，摊主要狗主人买走尿脏的虾，狗主人拒绝，双方发生争执。#葫芦岛 ##金毛 #文明养狗
",332453,1385,133,13849,153,2024-01-29 21:15:17,2025-10-25 15:31:12,1018685
酪酥蕐蘲gL荷硏,酪酥蕐蘲gL荷硏,8,7,0,False,他被骗婚了～,"他被骗婚了～
他被骗婚啦～
他女朋友（现在应该是老婆了）从谈恋爱开始就在骗他
这女的一个月工资1k+，男朋友工资2w，每月上交1w7，还把六十万存款卡给女方，
她一开始要23w彩礼，男朋友自掏腰包给了她25w，她转头又加价要28w，
而且之前多的2w不算数要男方凑5w，男的说先用存款垫付，
女的就发帖开骂说拖欠彩礼，吃性别对比的流量，
现在女方拿着男方的25w彩礼+六十万存款+工资卡，又坐地起价。
并且，男朋友还是抢的自己好朋友喜欢的人，现在她要退婚一毛钱不还！
而且恋爱期间脚踏两只船(前任谈五年➕现任谈一年)
前任在现任谈订婚前才分手，而且前任的孩子也是那几天才堕的，
她男朋友不知道她在小红书发的这些，她还说如果被她男朋友（李泽禹、南宁人、月入两万、95年）知道了就不会和她结婚了",294046,575,36,3076,90,2022-10-24 01:27:53,2025-09-23 17:56:27,888287
流放的牛魔王,Fun范叔叔♀,7,5,1,False,你们要彩礼是准备干这个吗,"你们要彩礼是准备干这个吗
我大受震撼",263498,480,42,8352,137,2022-08-29 23:18:32,2022-08-31 14:27:42,801509
空存Iaa,施💋,2,3,2,False,大家评评理,"大家评评理
我和男朋友本来准备结婚，他们家给了19.9万的彩礼，后来我得知他老家拆迁赔了300多万，于是我要求彩礼钱涨到99.99万，寓意长长久久，没想到我男朋友不但不同意，还要和我分手。
我和男朋友是大学迎新时认识的，他比我高一届，对我一见钟情，从我进校门他就开始就追我，我还没机会接触别的男生就被他追到手了。
大学四年男朋友一直都很宠我，我们从来没有吵过架，我说什么他都答应，我偶尔发发脾气，闹闹别扭也都是他来哄我。
因为我和男朋友不是一个地方的人，所以毕业后我不知该怎么选择，后来男朋友说他父母会给我安排工作，我这才下定决心去了他们家。
可是，到男朋友家后他一直不提安排工作的事情，后来又干脆说不用我工作了，只要结婚后我能在家好好照顾他和我们将来的孩子就行。我刚开始不愿意，后来也就妥协了。
然后，我们就订婚了。这门婚事我妈本来是不同意的，因为我弟弟还在读高中，我妈希望我毕业后能回家工作，这样就可以帮帮家里，可是我不但没有工作还嫁的那么远。
后来，我男朋友说给19.9万的彩礼，我妈这才点头同意了这门婚事。
婚事定下来后，男朋友带我去买钻戒，我问买多少钱的？男朋友说不用管价钱，只要我喜欢就行。
我心里就纳闷，上学时候男朋友对我虽然也大方，但也没觉得他家这么有钱啊。
说出我的疑问，男朋友笑着回答说，最近他们老家房子拆迁赔了300多万，他是独生子，这结婚又是一辈子的大事，当然不能省。
我听了男朋友的话特别高兴，订好钻戒又买了三金。
回家后，和我妈打电话时，我把男朋友家拆迁补偿300多万的事告诉了她。
我妈听了后说，既然我男朋友家这么有钱，那彩礼还不到20万就太小气了，我堂姐当初出嫁对方还给了29万呢。
后来，我妈坚持要求彩礼涨到99.99万，寓意长长久久，还说只收20万给我弟上大学用，剩下的都给我存起来。
我妈说我嫁那么远也没工作，万一将来我们的婚姻有什么问题，这份彩礼钱就是我的保障。
我觉得我妈的话有道理，就和男朋友商量，可是男朋友却不同意，还说我们两个结婚后他所有的一切也都是我的，何必多此一举。
可是男朋友越是不答应我就越是有疑虑，既然他说婚后这些钱也就是我的了，那为什么不肯现在拿出来一部分让我保管呢？
我一再强调说我妈要这些钱不是给我家里用的，而是给我存的，可是我男朋友还是不同意，我一气之下便回了娘家。
后来，我男朋友带着婚戒来找我，我以为他同意了彩礼的事，没想到他还是不答应，于是我故意赌气说，没有这个彩礼钱就不结婚了。
没想到我男朋友竟然说，那就分手吧。然后扭头就走了。
以前我生气了，男朋友很快就会回头哄我，我以为这次也一样，过不了几天他就会给我打电话，可是没想到一个月过去了他也没联系我。
我觉得我男朋友如今就是有钱了，所以就不在乎我了，我更加觉得我妈的话是有道理的，我应该给自己存下一笔保障，这样的婚姻才更有安全感。
可是，现在我该怎么办啊？如果我先主动联系我男朋友，那他更不会同意彩礼的事情了",258827,2642,68,9930,278,2022-05-16 07:47:40,2022-11-27 17:32:42,800103
秋虫不知晦朔,光荣的红花少年,13,9,1,False,加价3万彩礼后续来了！女方发声求复合,"加价3万彩礼后续来了！女方发声求复合
世界之大，无奇不有。今日分享一个发生在我们身边的离奇故事，一位逃婚的男子成为了社交平台的焦点，他不仅选择了逃离婚姻的枷锁，更以说走就走的决心展开了一场别开生面的旅行。这个故事中充满了无数的巧合、深思和对人生选择的思考。
35岁的山西男子郭某，逃离婚姻的举动让人啼笑皆非。通常，我们只在电视剧中看到女主逃婚的桥段，而男子逃婚似乎更加罕见。他在婚姻即将来临的时候，选择了勇敢地迎头而上，逃脱了传统婚姻的束缚，这一举动引发了广泛关注。
1.
而更加意外的是，郭某并没有选择一蹴而就地逃离婚姻的压力，相反，他以退婚后归还的彩礼为资金支持，开启了一场说走就走的自由旅行。五个月来，他踏遍40多个城市，用3万元完成了这场说走就走的冒险。这不仅是一次逃避婚姻的尝试，更是对人生进行重新审视的机会。他是否能够在这次说走就走的旅途中找到新的人生方向？这成了一个让人无法预料的谜。
然而，故事并未就此结束。当女方通过一段视频表达委屈时，故事更加扑朔迷离。女方表示愿意妥协，甚至可以不要那笔彩礼，但郭某却坚持退婚。这三万元的问题似乎变得微不足道，更像是一场关于尊严和信任的较量。这一点引发了更深层次的疑问，婚姻中，金钱和信任哪一个更为重要？
或许，逃婚者郭某并不是在逃避责任，而是在逃离一场婚姻的陷阱，为了寻找一个更加真实的自己。这让我们想起，人生往往充满了未知，谁能预料到下一个路口等待的是什么？逃婚者的决定或许是对未知世界的一次探险，一次重新定义人生的机会。2.
这起逃婚事件不仅让我们在笑谈之间思考人生，也让我们更加关注婚姻和感情的本质。金钱和信任，尊严和责任，在这场故事中碰撞出不同的火花。在感情的沉浮中，我们是否需要更加坚持自己的底线，捍卫尊严，而不是追逐表面的金钱？
这个故事或许仅仅是一个偶然，但它却引发了对婚姻、人生选择和幸福的深刻思考。无论是逃婚者还是我们每个人，都在寻找属于自己的幸福之路。在这个世界之大，我们需要更加勇敢地去面对未知，去追求真实的自己。因为逃离婚姻的郭某，或许正是为了找到那个真实的自己，而在说走就走的旅途中，重新定义人生的意义。或许，我们都可以从他的勇敢中汲取一些力量，勇敢地去面对生活中的未知，迎接更真实、更自由的自己。",258623,1100,16,5381,80,2023-11-24 19:09:26,2024-06-25 12:45:48,786878
秋虫不知晦朔,光荣的红花少年,0,9,1,False,为什么小姑娘会喜欢上大叔，而小伙子却不会喜欢上阿姨？,"为什么小姑娘会喜欢上大叔，而小伙子却不会喜欢上阿姨？
某音上有个叫「雅典娜.」的女性博主说过一段话，自己现在已经是一个34岁的大龄剩女了。如果不出意外的话，这辈子嫁不出去了，要砸在手里了。
但是谁敢想，在她二十多岁的时候，在大学校园里，她可以随便挑男生，追她的不少。但她当时想的是，这些男生的条件都不太好，有的不帅，有的没钱，自己如果努努力，让自己变成更好的人，将来就可以配得上更优秀的人。
于是她奋斗了十年，用自己的努力买房买车，也拥有了更多的存款。但现在，在她34岁的时候，她却发现一个残酷的事实:那些曾经被她嫌弃的男生，现在已经嫌弃她了。我们必须要承认一个事实，男的好色、女的慕强。
男性的核心竞争力在于财富和能力，女性的核心竞争力在于颜值和身材。大叔和小姑娘才是各自性别当中最具优势的一类，所以小姑娘会喜欢大叔，大叔也愿意找小姑娘。而小伙子和阿姨，都是各自性别中最弱势的一类，所以互相嫌弃。
小姑娘比较容易假装喜欢大叔从而换取经济利益。小伙子假装喜欢阿姨必须有药物辅助才行，很多年轻人还是怕药吃多了以后支愣不起来。
如果代价是不能人事的话，再有钱又有什么用呢？",240267,589,7,4826,51,2024-01-04 06:04:26,2024-03-15 10:12:04,728644
微微来籁,无味汤,5,9,1,False,3个生命，唉。。。。,"3个生命，唉。。。。
转知乎：福建泉州杀人嫌犯被捕！自尽后被抢救：女方骗我15万，还送我入狱",227703,1336,42,16720,155,2024-02-20 00:52:40,2024-08-06 10:48:44,706790
秋虫不知晦朔,光荣的红花少年,13,9,1,False,33高龄的相亲大姐就不要喝什么奶茶了，对健康不好哈哈,"33高龄的相亲大姐就不要喝什么奶茶了，对健康不好哈哈
33岁的女生去相亲，男生24岁，高高帅帅的。她跟男孩说：“我给你个机会，你请我喝个奶茶吧。”没想到女生被男生拒绝了，不禁感觉有点心酸，这个年纪出来相亲没想到男方连一杯奶茶也不愿意请她喝。
网友评论：他们喜欢年龄 20岁左右的。
女生今年 33岁，她觉得自己有稳定的收入，颜值身材不算太差，有高学历，应该不难找对象，结果被现实狠狠的教育了一番。
其实男生不在乎你收入高不高，也不在乎你学历高低，他们觉得一个女人30多岁了还在找对象，一定是个很挑剔的人，不如20左右的女生单纯直率些！
女生30多岁才去相亲，也很难找到“优质男”啦！
大部分男人其实喜欢傻白甜，高学历，高收入只是加分项，不是吸引力。对男人最有吸引力的还是年龄，性格，外表。这三项要是都是满分对男人的吸引力就是致命的，要是只占两项也有大把人追求，只有一项的话就要自己大胆的去追人家，单身男人也怕缠绵的女人
我曾经也相亲过20岁出头的女孩确实是更容易更直接，你跟她聊天就容易被她们活力感染，只追求当下，房子车子认为努力就会有，可惜我不是渣男，年龄相差十岁没好意思下手。而且男生才24岁，女方太成熟他会有压力。",225295,1170,18,6263,154,2023-12-12 12:33:01,2023-12-29 00:24:54,688206
秋虫不知晦朔,光荣的红花少年,13,9,1,False,看看郭襄的待遇，不得不说牛郎有如今的风评实在是冤,"看看郭襄的待遇，不得不说牛郎有如今的风评实在是冤
为什么郭襄的风评越来越差，郭芙的口碑却越来越好？代入杨过，你不觉得可怖吗？你36岁，遇到了了一个16岁的小迷妹，从此小迷妹一心记挂着你，你生她生，你寻死她跟着。
你终于找到了分别16年的妻子，想和妻子在你成长你妻子长大的地方安安稳稳的度过余生，结果小迷妹四处找你，第一件事就是直扑你俩的家。
你不想见，于是躲了出去，这一躲，竟然就是二十四年，这二十年里，你们隐姓埋名，四处躲避，耳边不时听闻小迷妹骑驴上少林砍了小和尚的手指，又听说小迷妹四处找你搅和的江湖风风雨雨。
终于迷妹24年后大彻大悟，建立了峨眉，你刚舒一口气，想着要不以夫妻名义送个贺表，随口一问，小迷妹有没有收徒，结果听说她徒弟就叫风陵，你一口老血认出来，这分明是怀念你和她风陵渡口初相遇。
你抬头看看妻子，妻子倒是很理解你，江湖人也很理解你，反正郭家二小姐，你也得罪不起。
你想起了你的两个义妹，她们也是倾心于你，却从不纠缠你，绝情谷一别终身未嫁，如今在为抗蒙事业奔走。
几十年过去了，江湖上流传着神雕大侠的威名，更流传着郭二小姐峨眉掌门的痴情，逐渐的，你变成了背景板，只剩下郭二小姐一生为爱痴狂，你甚至不知道，江湖上有多少人扼腕叹息，说你的妻子当年死在绝情谷就好了，这样你和郭二小姐也能成一段佳话。
你有些无语，确实，郭二小姐年轻貌美活泼明艳，家世也是一顶一，连她父母都是大英雄，你的妻子不过是江湖一个没落门派的孤女罢了，说是掌门，但门下弟子仅你一人，平时还得依靠全真派的庇护。
但是，又如何呢？郭二小姐顶好，但你就是不喜欢她做你的妻子。可是郭二小姐，也让你背上了莫名其妙的情感债务，所以，你除了余生躲着郭二小姐，还能怎么办呢？
在此期间，你听说襄阳失陷了，与你一生复杂纠葛在一起的郭伯伯郭伯母以身殉国了，就连你不知道是喜欢还是厌恶的郭芙也在跟着父母抗争蒙古后殉国了，还有那个你也不知道叫什么的郭伯伯的儿子，也许也殉国了。
值此家国巨变，郭二小姐在西川寻你。你四处流浪，到处听闻江湖人感慨，郭二小姐如此情深，为了神雕大侠不顾父母，不知神雕大侠知道了作何感想？
你看看妻子始终如一的面孔，心里想，我没什么感想，你自己想出去玩就出去玩，成天骂我做幌子干什么？你明知道父母年过70，还镇守在襄阳一线，你不好好学武功帮助父母成天瞎蹦哒什么？你蹦跶就蹦跶，打我的幌子干什么？
你调动一切力量，帮助难逃的丐帮人士，你知道蒙古铁骑一来，守了几十年襄阳的丐帮首当其冲，你叮嘱后人，要好好帮助丐帮，不要让郭靖icon黄蓉icon二人的一生心血付之东流，为反蒙留下火苗种子。
但同样是郭家产业，你为什么不对峨眉派施以援手？一来你是怕了二小姐，二来你一听她徒弟的名字就知道，二小姐无家国大义。
峨眉是不是反抗蒙古？我们无从得知，只知道几十年后，峨眉的掌门灭绝师太是坚决反元的，至于郭二小姐，书中无有描述。
你想起了那一年在襄阳城头，你与郭伯伯骑马并行，郭伯伯告诉你，他也不知道襄阳能不能守得住，但他只求鞠躬尽瘁死而后已。
只可惜，百年之后，你期盼人们记住你飞石击杀蒙古大汉，带领江湖游侠挫败蒙古先锋，国破之后保护南宋有生力量，而不是如今的郭二小姐痴情的背景板，更不是如今的花边新闻。
即使是痴情，你也希望人们记住你对你妻子的矢志不渝，而不是如今蹿出来一个抢你风头的人。
你一生，家国情怀不敌郭靖也就算了，毕竟你也做不到以身殉国；但你这一生，连痴情人设都被一个二小姐抢了去，那你十六年日夜望着南海算什么？
你仔细想想，算了，打不过争不过，你躲着她还不行呢？",225345,383,6,3463,88,2024-01-12 13:17:47,2024-01-20 19:17:44,681519
ypdufitf,隐身箱子猫,1,8,1,False,真的！千真万确！,"真的！千真万确！
这件事闹挺大，我们这边都传疯了，就我隔壁，一个35岁打了四次胎的大龄剩女，最近被一个上市集团老总家儿子看上了，给她买了一套别墅，给家里人也买了几套房，就这还不算完，后面彩礼还给了几百万，他们家一共也就几千万，但是他们说不心疼，娶媳妇是一辈子的事，花个小几千万是没问题的，所以一定要给彩礼，还得多给，要不然就是不爱她",211695,443,8,3164,18,2022-07-05 13:51:18,2022-07-10 11:45:08,640506
鍚存皬馃挋,🍊橘子橙er,1,8,1,False,鼠鼠们能接受吗？,"鼠鼠们能接受吗？
",204279,2066,26,13530,266,2023-07-18 14:02:51,2023-09-25 16:58:23,637041
石新叶xy,石新叶,12,6,1,False,假夫妻现象说明了什么,"假夫妻现象说明了什么
据有关自媒体报道：厂里假夫妻太多，再穷也别让女的一个人出来打工。厂里假夫妻太多了，男的付房租管女的一日三餐，给女的买衣服零花钱，女方年底带全款回家，男方回家后说，今年钱不好挣。谈及这类话题，大家是否会问：同样的性需求，为什么女性要求男人付款？在彩礼问题上，甚至有的女性会说：不能让男人白嫖。
也许有人说：没有为什么，这是社会认知，是规矩。那么为什么男人不能控制自己的性行为，留住自己的血汗钱呢？可能有女性会说，谁叫男人馋？",196420,288,9,1017,13,2023-08-10 14:30:36,2023-09-04 23:13:10,591757
风zhi恋痕,我可爱的喵😘,0,9,1,False,大龄剩女凉了,"大龄剩女凉了
已经有3800万大龄剩女了，什么叫大龄，就是太……老了没什么人要了，这辈子孤独终老了",185759,2444,23,21342,173,2023-03-31 19:24:07,2024-10-06 13:18:24,591081
刻薄一些,刻薄一些,13,6,0,False,远离格局小的,"远离格局小的
01
前几天看到一则离了个大谱的新闻。
浙江一位29岁的男子，因为家里人不断的催促，于是就接受了相亲的安排。
在一位长辈的介绍下，他认识了女孩张某。
第一次见面，男子希望能给相亲对象留下好印象，就主动提出要请客，还把约会场所定在了一家比较高档的饭店。
没想到，约会当天，女孩带领了一整支浩浩荡荡的亲戚队伍过来赴约了，人数多达23人......
这到底是来相亲，还是来打群架的......
男生还算有绅士风度，强颜欢笑地将女孩的亲戚们迎进了饭店，最终23人占满了两个包间4个酒桌。
更搞笑的是，两个相亲对象分别在两个包厢照顾客人，面都没怎么见到，更不用说聊天了。
行吧，冤大头就冤大头吧。男生在饭局快结束时，还是主动去柜台准备结账了，没想到，看到账单傻眼了。
自己所在的包厢，消费不过4000多元，而对方所在的包厢，竟然消费了1万5千多。
不但点了许多特别贵的菜品，还连吃带拿地点了不少的高档烟酒，这是要把男生往死里宰呀。
这个冤大头，谁爱当谁当。男生愤怒地离开饭店，无法忍受这种耻辱。
到饭局尾声，众人才察觉男生不见了，女生只好自掏腰包，付了近两万元的“巨款”。
事件的最后是，男生联系女生，说希望AA制，自己会承担所在包厢的4千多元消费。
女生只好将情况发在亲戚群里，要亲戚转账剩余的饭钱给她......
这场闹剧简直令人叹为观止，居然现实生活中，真的有脸皮如此厚实之人。",190780,168,10,1328,38,2022-05-02 21:51:56,2022-05-05 12:34:42,574576
u09114118,罗兰炖肉,8,9,1,False,是教育让男人变成“渣男”的吗？,"是教育让男人变成“渣男”的吗？
",168154,2696,36,26353,1443,2022-10-26 13:28:49,2023-07-06 19:36:47,545846
发呆症状患者,吾名发呆😘,5,2,0,False,四年感情，终究是我娶不起她们一家人。,"四年感情，终究是我娶不起她们一家人。
一言难尽，本人27岁，女24岁的本来要结婚了，女方一开始提12个彩礼我想也没想就答应了，结果昨天她发微信和我讲要40个加一套房一辆车给她弟弟准备，我啥也没说先和朋友们通知下说不结婚了，然后取消婚庆公司，和她说我不结了，今天在喝酒她们一家子人来这闹事，我朋友在这边给她弟弟揍医院去了，真他妈晦气，还是走相亲了，四年算个球。",176619,1137,67,3991,66,2022-02-14 23:36:13,2022-06-06 18:28:49,539800
阉然扒瘟到qe,咖喱小泡芙,0,3,2,False,被姐夫恶心倒了,"被姐夫恶心倒了
天塌了，这叫什么事啊😫我姐姐亲姐姐前几年因病去世了，但是还有个孩子，我一直对姐姐的孩子挺好的，我放假回来买零食衣服裤子，小孩平时是我家和我姐夫两边带，我这次回来发现我姐夫拿我照片当壁纸，还是偷偷拍的，还给我买了护肤品，我都说了我不要也不会用，然后他就说那给妈妈用，后来又买了镯子，手链，那个手链上还有love，这是什么意思，真服啦",177703,450,6,1934,9,2024-10-28 14:43:32,2024-11-12 10:52:51,537320
